Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Avengers: Endgame	$858,373,000	4,662	$357,115,007	4,662	Apr 26, 2019	Walt Disney Studios Motion Pictures
2	Black Panther	$700,059,566	4,084	$202,003,951	4,020	Feb 16, 2018	Walt Disney Studios Motion Pictures
3	Avengers: Infinity War	$678,815,482	4,474	$257,698,183	4,474	Apr 27, 2018	Walt Disney Studios Motion Pictures
4	The Avengers	$623,357,910	4,349	$207,438,708	4,349	May 4, 2012	Walt Disney Studios Motion Pictures
5	Avengers: Age of Ultron	$459,005,868	4,276	$191,271,109	4,276	May 1, 2015	Walt Disney Studios Motion Pictures
6	Captain Marvel	$426,829,839	4,310	$153,433,423	4,310	Mar 8, 2019	Walt Disney Studios Motion Pictures
7	Iron Man 3	$409,013,994	4,253	$174,144,585	4,253	May 3, 2013	Walt Disney Studios Motion Pictures
8	Captain America: Civil War	$408,084,349	4,226	$179,139,142	4,226	May 6, 2016	Walt Disney Studios Motion Pictures
9	Spider-Man	$403,706,375	3,876	$114,844,116	3,615	May 3, 2002	Sony Pictures Releasing
10	Spider-Man: Far from Home	$390,532,085	4,634	$92,579,212	4,634	Jul 2, 2019	Sony Pictures Releasing
11	Guardians of the Galaxy Vol. 2	$389,813,101	4,347	$146,510,104	4,347	May 5, 2017	Walt Disney Studios Motion Pictures
12	Spider-Man 2	$373,585,825	4,166	$88,156,227	4,152	Jun 30, 2004	Sony Pictures Releasing
13	Deadpool	$363,070,709	3,856	$132,434,639	3,558	Feb 12, 2016	Twentieth Century Fox
14	Spider-Man 3	$336,530,303	4,324	$151,116,516	4,252	May 4, 2007	Sony Pictures Releasing
15	Spider-Man: Homecoming	$334,201,140	4,348	$117,027,503	4,348	Jul 7, 2017	Sony Pictures Releasing
16	Guardians of the Galaxy	$333,176,600	4,088	$94,320,883	4,080	Aug 1, 2014	Walt Disney Studios Motion Pictures
17	Iron Man	$318,604,126	4,154	$98,618,668	4,105	May 2, 2008	Paramount Pictures
18	Deadpool 2	$318,491,426	4,349	$125,507,153	4,349	May 18, 2018	Twentieth Century Fox
