Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Star Wars: Episode VII - The Force Awakens	$936,662,225	4,134	$247,966,675	4,134	Dec 18, 2015	Walt Disney Studios Motion Pictures
2	Star Wars: Episode VIII - The Last Jedi	$620,181,382	4,232	$220,009,584	4,232	Dec 15, 2017	Walt Disney Studios Motion Pictures
3	Rogue One: A Star Wars Story	$532,177,324	4,157	$155,081,681	4,157	Dec 16, 2016	Walt Disney Studios Motion Pictures
4	Star Wars: Episode IX - The Rise of Skywalker	$515,202,542	4,406	$177,383,864	4,406	Dec 20, 2019	Walt Disney Studios Motion Pictures
5	Star Wars: Episode I - The Phantom Menace	$431,088,295	3,126	$64,820,970	2,970	May 19, 1999	Twentieth Century Fox
6	Star Wars: Episode III - Revenge of the Sith	$380,270,577	3,663	$108,435,841	3,661	May 19, 2005	Twentieth Century Fox
7	Star Wars: Episode IV - A New Hope	$307,263,857	1,750	$1,554,475	43	May 25, 1977	Twentieth Century Fox
8	Star Wars: Episode II - Attack of the Clones	$302,191,252	3,161	$80,027,814	3,161	May 16, 2002	Twentieth Century Fox
9	Star Wars: Episode VI - Return of the Jedi	$252,583,617	1,764	$23,019,618	1,002	May 25, 1983	Twentieth Century Fox
10	Solo: A Star Wars Story	$213,767,512	4,381	$84,420,489	4,381	May 25, 2018	Walt Disney Studios Motion Pictures
11	Star Wars: Episode V - The Empire Strikes Back	$209,398,025	1,278	$4,910,483	126	May 21, 1980	Twentieth Century Fox
12	Star Wars: Episode IV - A New Hope1997 Special Edition	$138,257,865	2,375	$35,906,661	2,104	Jan 31, 1997	Twentieth Century Fox
13	Star Wars: Episode V - The Empire Strikes Back1997 Special Edition	$67,597,694	2,322	$21,975,993	2,111	Feb 21, 1997	Twentieth Century Fox
14	Star Wars: Episode VI - Return of the Jedi1997 Special Edition	$45,470,437	2,111	$16,293,531	2,111	Mar 14, 1997	Twentieth Century Fox
15	Star Wars: Episode I - The Phantom Menace2012 3D Release	$43,456,382	2,655	$22,469,932	2,655	Feb 10, 2012	Twentieth Century Fox
16	Star Wars: The Clone Wars	$35,161,554	3,452	$14,611,273	3,452	Aug 15, 2008	Warner Bros.
17	Star Wars: Episode IV - A New Hope1982 Re-release	$15,476,785	1,070	$3,766,803	1,070	Aug 13, 1982	Twentieth Century Fox
18	Star Wars: Episode V - The Empire Strikes Back1982 Re-release	$13,276,241	1,006	$3,949,478	992	Nov 19, 1982	Twentieth Century Fox
19	Star Wars: Episode VI - Return of the Jedi1985 Re-release	$11,252,123	894	$3,209,056	849	Mar 29, 1985	Twentieth Century Fox
20	Star Wars: Episode II - Attack of the Clones2002 IMAX Release	$8,485,488	58	$1,435,259	58	Nov 1, 2002	Twentieth Century Fox
-	Untitled Star Wars Film	-	-	-	-	Dec 20, 2024	Walt Disney Studios Motion Pictures
-	Untitled Star Wars Film	-	-	-	-	Dec 18, 2026	Walt Disney Studios Motion Pictures
