Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Deadpool	$363,070,709	3,856	$132,434,639	3,558	Feb 12, 2016	Twentieth Century Fox
2	Deadpool 2	$318,491,426	4,349	$125,507,153	4,349	May 18, 2018	Twentieth Century Fox
3	X-Men: The Last Stand	$234,362,462	3,714	$102,750,665	3,690	May 26, 2006	Twentieth Century Fox
4	X-Men: Days of Future Past	$233,921,534	4,001	$90,823,660	3,996	May 23, 2014	Twentieth Century Fox
5	Logan	$226,277,068	4,071	$88,411,916	4,071	Mar 3, 2017	Twentieth Century Fox
6	X2: X-Men United	$214,949,694	3,749	$85,558,731	3,741	May 2, 2003	Twentieth Century Fox
7	X-Men Origins: Wolverine	$179,883,157	4,102	$85,058,003	4,099	May 1, 2009	Twentieth Century Fox
8	X-Men	$157,299,718	3,112	$54,471,475	3,025	Jul 14, 2000	Twentieth Century Fox
9	X-Men: Apocalypse	$155,442,489	4,153	$65,769,562	4,150	May 27, 2016	Twentieth Century Fox
10	X-Men: First Class	$146,408,305	3,692	$55,101,604	3,641	Jun 3, 2011	Twentieth Century Fox
11	The Wolverine	$132,556,852	3,924	$53,113,752	3,924	Jul 26, 2013	Twentieth Century Fox
12	X-Men: Dark Phoenix	$65,845,974	3,721	$32,828,348	3,721	Jun 7, 2019	Twentieth Century Fox
13	Once Upon a Deadpool2018 Re-release	$6,100,309	1,566	$2,683,200	1,566	Dec 12, 2018	Twentieth Century Fox
-	The New Mutants						
