Franchise	Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
Marvel Cinematic Universe	1	Avengers: Endgame	$858,373,000	4,662	$357,115,007	4,662	Apr 26, 2019	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	2	Black Panther	$700,059,566	4,084	$202,003,951	4,020	Feb 16, 2018	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	3	Avengers: Infinity War	$678,815,482	4,474	$257,698,183	4,474	Apr 27, 2018	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	4	The Avengers	$623,357,910	4,349	$207,438,708	4,349	May 4, 2012	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	5	Avengers: Age of Ultron	$459,005,868	4,276	$191,271,109	4,276	May 1, 2015	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	6	Captain Marvel	$426,829,839	4,310	$153,433,423	4,310	Mar 8, 2019	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	7	Iron Man 3	$409,013,994	4,253	$174,144,585	4,253	May 3, 2013	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	8	Captain America: Civil War	$408,084,349	4,226	$179,139,142	4,226	May 6, 2016	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	9	Spider-Man: Far from Home	$390,532,085	4,634	$92,579,212	4,634	Jul 2, 2019	Sony Pictures Releasing
Marvel Cinematic Universe	10	Guardians of the Galaxy Vol. 2	$389,813,101	4,347	$146,510,104	4,347	May 5, 2017	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	11	Spider-Man: Homecoming	$334,201,140	4,348	$117,027,503	4,348	Jul 7, 2017	Sony Pictures Releasing
Marvel Cinematic Universe	12	Guardians of the Galaxy	$333,176,600	4,088	$94,320,883	4,080	Aug 1, 2014	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	13	Iron Man	$318,604,126	4,154	$98,618,668	4,105	May 2, 2008	Paramount Pictures
Marvel Cinematic Universe	14	Thor: Ragnarok	$315,058,289	4,080	$122,744,989	4,080	Nov 3, 2017	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	15	Iron Man 2	$312,433,331	4,390	$128,122,480	4,380	May 7, 2010	Paramount Pictures
Marvel Cinematic Universe	16	Captain America: The Winter Soldier	$259,766,572	3,938	$95,023,721	3,938	Apr 4, 2014	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	17	Doctor Strange	$232,641,920	3,882	$85,058,311	3,882	Nov 4, 2016	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	18	Ant-Man and the Wasp	$216,648,740	4,206	$75,812,205	4,206	Jul 6, 2018	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	19	Thor: The Dark World	$206,362,140	3,841	$85,737,841	3,841	Nov 8, 2013	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	20	Thor	$181,030,624	3,963	$65,723,338	3,955	May 6, 2011	Paramount Pictures
Marvel Cinematic Universe	21	Ant-Man	$180,202,163	3,868	$57,225,526	3,856	Jul 17, 2015	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	22	Captain America: The First Avenger	$176,654,505	3,715	$65,058,524	3,715	Jul 22, 2011	Paramount Pictures
Marvel Cinematic Universe	23	The Incredible Hulk	$134,806,913	3,508	$55,414,050	3,505	Jun 13, 2008	Universal Pictures
Marvel Cinematic Universe	-	Untitled Marvel (Feb 2023)	-	-	-	-	Feb 17, 2023	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Untitled Marvel (May 2023)	-	-	-	-	May 5, 2023	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Untitled Marvel (July 2023)	-	-	-	-	Jul 28, 2023	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Untitled Marvel (Nov 2023)	-	-	-	-	Nov 3, 2023	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Black Widow	-	-	-	-	Nov 6, 2020	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Eternals	-	-	-	-	Feb 12, 2021	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Doctor Strange in the Multiverse of Madness	-	-	-	-	Nov 5, 2021	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Shang-Chi and the Legend of the Ten Rings	-	-	-	-	May 7, 2021	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Thor: Love and Thunder	-	-	-	-	Feb 18, 2022	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Black Panther II	-	-	-	-	May 6, 2022	Walt Disney Studios Motion Pictures
Marvel Cinematic Universe	-	Untitled Spider-Man Sequel	-	-	-	-	Jul 16, 2021	Sony Pictures Releasing
Marvel Cinematic Universe	-	Untitled Marvel (Oct 2022)	-	-	-	-	Oct 7, 2022	Walt Disney Studios Motion Pictures
Star Wars	1	Star Wars: Episode VII - The Force Awakens	$936,662,225	4,134	$247,966,675	4,134	Dec 18, 2015	Walt Disney Studios Motion Pictures
Star Wars	2	Star Wars: Episode VIII - The Last Jedi	$620,181,382	4,232	$220,009,584	4,232	Dec 15, 2017	Walt Disney Studios Motion Pictures
Star Wars	3	Rogue One: A Star Wars Story	$532,177,324	4,157	$155,081,681	4,157	Dec 16, 2016	Walt Disney Studios Motion Pictures
Star Wars	4	Star Wars: Episode IX - The Rise of Skywalker	$515,202,542	4,406	$177,383,864	4,406	Dec 20, 2019	Walt Disney Studios Motion Pictures
Star Wars	5	Star Wars: Episode I - The Phantom Menace	$431,088,295	3,126	$64,820,970	2,970	May 19, 1999	Twentieth Century Fox
Star Wars	6	Star Wars: Episode III - Revenge of the Sith	$380,270,577	3,663	$108,435,841	3,661	May 19, 2005	Twentieth Century Fox
Star Wars	7	Star Wars: Episode IV - A New Hope	$307,263,857	1,750	$1,554,475	43	May 25, 1977	Twentieth Century Fox
Star Wars	8	Star Wars: Episode II - Attack of the Clones	$302,191,252	3,161	$80,027,814	3,161	May 16, 2002	Twentieth Century Fox
Star Wars	9	Star Wars: Episode VI - Return of the Jedi	$252,583,617	1,764	$23,019,618	1,002	May 25, 1983	Twentieth Century Fox
Star Wars	10	Solo: A Star Wars Story	$213,767,512	4,381	$84,420,489	4,381	May 25, 2018	Walt Disney Studios Motion Pictures
Star Wars	11	Star Wars: Episode V - The Empire Strikes Back	$209,398,025	1,278	$4,910,483	126	May 21, 1980	Twentieth Century Fox
