Release_Date	Title	Production_Budget	Opening_Weekend	Domestic_Box_Office	Worldwide_Box_Office
Apr 26, 2019	Avengers: Endgame	$400,000,000	$357,115,007	$858,373,000	$2,797,800,564
Apr 27, 2018	Avengers: Infinity War	$300,000,000	$257,698,183	$678,815,482	$2,048,359,754
May 4, 2012	The Avengers	$225,000,000	$207,438,708	$623,357,910	$1,518,812,988
May 1, 2015	Avengers: Age of Ultron	$365,000,000	$191,271,109	$459,005,868	$1,403,013,963
Feb 16, 2018	Black Panther	$200,000,000	$202,003,951	$700,059,566	$1,346,913,161
May 3, 2013	Iron Man 3	$200,000,000	$174,144,585	$408,992,272	$1,215,392,272
May 6, 2016	Captain America: Civil War	$250,000,000	$179,139,142	$408,084,349	$1,153,284,349
Mar 8, 2019	Captain Marvel	$175,000,000	$153,433,423	$426,829,839	$1,129,729,839
Jul 2, 2019	Spider-Man: Far From Home	$160,000,000	$92,579,212	$390,532,085	$1,128,991,628
Jul 7, 2017	Spider-Man: Homecoming	$175,000,000	$117,027,503	$334,201,140	$880,166,350
May 5, 2017	Guardians of the Galaxy Vol 2	$200,000,000	$146,510,104	$389,813,101	$869,113,101
Nov 3, 2017	Thor: Ragnarok	$180,000,000	$122,744,989	$315,058,289	$853,958,289
Aug 1, 2014	Guardians of the Galaxy	$170,000,000	$94,320,883	$333,172,112	$772,772,112
Apr 4, 2014	Captain America: The Winter Soldier	$170,000,000	$95,023,721	$259,746,958	$714,401,889
Nov 4, 2016	Doctor Strange	$165,000,000	$85,058,311	$232,641,920	$676,404,566
Nov 8, 2013	Thor: The Dark World	$150,000,000	$85,737,841	$206,362,140	$644,602,516
Jul 6, 2018	Ant-Man and the Wasp	$130,000,000	$75,812,205	$216,648,740	$623,144,660
May 7, 2010	Iron Man 2	$170,000,000	$128,122,480	$312,433,331	$621,156,389
May 2, 2008	Iron Man	$186,000,000	$102,118,668	$318,604,126	$585,171,547
Jul 17, 2015	Ant-Man	$130,000,000	$57,225,526	$180,202,163	$518,858,449
May 6, 2011	Thor	$150,000,000	$65,723,338	$181,030,624	$449,326,618
Jul 22, 2011	Captain America: The First Avenger	$140,000,000	$65,058,524	$176,654,505	$370,569,776
Jun 13, 2008	The Incredible Hulk	$137,500,000	$55,414,050	$134,806,913	$265,573,859
May 6, 2022	Black Panther II				
Jul 16, 2021	Spider-Man: Homecoming 3				
May 7, 2021	Shang Chi and the Legend of the Ten Rings				
Feb 12, 2021	The Eternals				
Nov 6, 2020	Black Widow				
