Franchise	No_of_Movies	Domestic_Box_Office	Infl_Adj_Dom_Box_Office	Worldwide_Box_Office	First_Year	Last_Year	No_of_Years
Marvel Cinematic Universe	30	$8,545,426,433	$9,102,945,801	$22,587,518,639	2008	2022	14
Star Wars	15	$5,079,119,579	$8,039,797,255	$10,324,020,963	1977	2026	49
James Bond	27	$2,136,666,623	$5,931,136,027	$7,119,674,009	1963	2020	57
Batman	22	$2,786,778,902	$3,949,355,696	$6,052,346,905	1989	2021	32
Harry Potter	12	$2,786,938,291	$3,638,704,111	$9,195,390,708	2001	2021	20
Spider-Man	10	$2,711,115,724	$3,292,639,145	$7,220,232,624	2002	2019	17
X-Men	14	$2,434,609,696	$2,878,961,702	$6,033,624,526	2000	2020	20
Avengers	4	$2,619,552,260	$2,746,635,625	$7,767,987,269	2012	2019	7
Jurassic Park	6	$1,882,766,527	$2,705,746,069	$5,009,038,251	1993	2021	28
Star Trek	13	$1,400,952,879	$2,594,747,188	$2,267,036,257	1979	2016	37
Peter Jackson's Lord of the Rings	7	$1,852,304,517	$2,520,333,945	$5,858,102,224	2001	2018	17
DC Extended Universe	23	$2,147,685,393	$2,227,584,552	$5,473,505,766	2013	2022	9
Indiana Jones	5	$919,839,275	$2,063,482,532	$1,961,339,569	1981	2022	41
Superman	9	$1,152,698,852	$2,050,758,403	$2,554,512,067	1978	2016	38
Fast and the Furious	11	$1,690,752,038	$1,993,550,748	$5,901,315,134	2001	2021	20
Shrek	8	$1,419,598,493	$1,952,505,259	$3,546,160,710	2001	2022	21
Rocky	8	$792,039,875	$1,942,429,850	$1,513,939,512	1976	2018	42
Pirates of the Caribbean	5	$1,451,769,807	$1,912,071,782	$4,517,852,068	2003	2017	14
Transformers	7	$1,582,401,601	$1,863,419,555	$4,846,579,018	1986	2018	32
Toy Story	5	$1,317,393,746	$1,787,870,306	$3,054,046,196	1995	2019	24
Jaws	4	$420,895,891	$1,714,929,704	$737,573,891	1975	1987	12
Hunger Games	4	$1,451,538,526	$1,622,424,771	$2,958,353,344	2012	2015	3
Twilight	6	$1,365,922,346	$1,610,862,622	$3,317,470,739	2008	2012	4
Mission: Impossible	8	$1,154,492,507	$1,593,972,703	$3,577,703,029	1996	2022	26
Dark Knight Trilogy	3	$1,190,225,564	$1,483,447,867	$2,448,599,772	2005	2012	7
Peter Pan	6	$355,579,537	$1,467,907,310	$708,714,979	1953	2009	56
Planet of the Apes	9	$793,882,111	$1,374,716,792	$2,115,119,208	1968	2017	49
The Lion King	4	$965,423,326	$1,371,188,452	$2,643,158,262	1994	2019	25
Despicable Me	6	$1,220,249,440	$1,334,741,729	$3,713,742,291	2010	2021	11
Lady and the Tramp	2	$93,600,000	$1,275,667,761	$93,600,000	1955	2001	46
Exorcist	5	$322,436,443	$1,274,216,475	$522,446,253	1973	2005	32
