Rank	Title	WorldwideLifetimeGross	Domesti LifetimeGross	Domestic%	ForeignLifetimeGross	Foreign%	Year
1	Avengers: Endgame	2797800564	858373000	0.307	1939427564	0.693	2019
2	Avatar	2790439000	760507625	0.272	2029931375	0.728	2009
3	Titanic	2194439542	659363944	0.3	1535075598	0.7	1997
4	Star Wars: Episode VII - The Force Awakens	2068223624	936662225	0.453	1131561399	0.547	2015
5	Avengers: Infinity War	2048359754	678815482	0.331	1369544272	0.669	2018
6	Jurassic World	1670400637	652270625	0.39	1018130012	0.61	2015
7	The Lion King	1656943394	543638043	0.328	1113305351	0.672	2019
8	The Avengers	1518812988	623357910	0.41	895455078	0.59	2012
9	Furious 7	1515047671	353007020	0.233	1162040651	0.767	2015
10	Frozen II	1450026933	477373578	0.329	972653355	0.671	2019
11	Avengers: Age of Ultron	1402805868	459005868	0.327	943800000	0.673	2015
12	Black Panther	1346913161	700059566	0.52	646853595	0.48	2018
13	Harry Potter and the Deathly Hallows: Part 2	1341932398	381409310	0.284	960523088	0.716	2011
14	Star Wars: Episode VIII - The Last Jedi	1332539889	620181382	0.465	712358507	0.535	2017
15	Jurassic World: Fallen Kingdom	1308467944	417719760	0.319	890748184	0.681	2018
16	Frozen	1280802282	400738009	0.313	880064273	0.687	2013
17	Beauty and the Beast	1263521126	504014165	0.399	759506961	0.601	2017
18	Incredibles 2	1242805359	608581744	0.49	634223615	0.51	2018
19	The Fate of the Furious	1236005118	226008385	0.183	1009996733	0.817	2017
20	Iron Man 3	1214811252	409013994	0.337	805797258	0.663	2013
21	Minions	1159398397	336045770	0.29	823352627	0.71	2015
22	Captain America: Civil War	1153296293	408084349	0.354	745211944	0.646	2016
23	Aquaman	1148461807	335061807	0.292	813400000	0.708	2018
24	The Lord of the Rings: The Return of the King	1142219401	377845905	0.331	764373496	0.669	2003
25	Spider-Man: Far from Home	1131927996	390532085	0.345	741395911	0.655	2019
26	Captain Marvel	1128274794	426829839	0.378	701444955	0.622	2019
27	Transformers: Dark of the Moon	1123794079	352390543	0.314	771403536	0.686	2011
28	Skyfall	1108561013	304360277	0.275	804200736	0.725	2012
29	Transformers: Age of Extinction	1104054072	245439076	0.222	858614996	0.778	2014
30	The Dark Knight Rises	1081041287	448139099	0.414	632902188	0.586	2012
31	Joker	1074251311	335451311	0.312	738800000	0.688	2019
32	Star Wars: Episode IX - The Rise of Skywalker	1074144248	515202542	0.48	558941706	0.52	2019
33	Toy Story 4	1073394593	434038008	0.404	639356585	0.596	2019
